 sex row_number liters_drunk age drink check_number label
66 ж 31.0 0 53 Fanta 9976 0
67 M 30.0 3 75 Fanta 2632 0
68 Ж 35.0 5 68 "Strong beer" 1230 1
69 ж 95.0 2 29 Water 85 0
70 Ж 53.0 5 38 Fanta 5084 1
71 "Не указан" 42.0 4 68 Cola 805 0
72 Ж 95.0 1 78 Beerbeer 3003 1
73 ж 90.0 -6 23 Bugbeer 2593 0
74 ж 58.0 2 67 Beerbeer 3953 0
75 Ж 33.0 4 40 "Strong beer" 6224 1
76 ж 13.0 5 76 Fanta 8053 0
77 ж 74.0 0 61 Beerbeer 5697 1
78 ж 64.0 2 30 Fanta 3468 1
79 Ж 65.0 4 17 Water 6361 0
80 ж 55.0 1 27 Fanta 6532 1
81 "Не указан" 36.0 3 52 Fanta 4512 1
82 M 20.0 5 72 Water 8357 0
83 "Не указан" 56.0 2 69 Fanta 4438 1
84 м 29.0 1 70 Cola 8335 0
85 M 78.0 4 43 Water 8632 0
86 ж 33.0 4 33 Beerbeer 2025 1
87 Ж 39.0 5 27 Fanta 3213 0
88 M 88.0 2 47 Bugbeer 9372 0
89 ж 26.0 4 41 Beerbeer 9127 1
90 Ж 77.0 5 80 Fanta 7205 1
91 ж 15.0 5 29 Beerbeer 123 1
92 M 3.0 0 64 Water 6824 1
93 м 56.0 0 43 Beerbeer 7045 1
94 м 48.0 2 16 Fanta 6760 1
95 - 33.0 3 64 Beerbeer 5484 0
96 Ж 47.0 1 14 Water 3086 0
97 ж 71.0 4 27 Bugbeer 4139 1
98 - 18.0 5 77 Cola 9634 0
99 - 56.0 2 69 Beerbeer 3728 1
100 "не указан" 40.0 0 14 Cola 4444 0
101 M 96.0 79110443 20 Cola 7933 1
102 ж 79.0 4 80 "Strong beer" 5563 0
103 - 64.0 5 18 Fanta 9477 1
104 M 40.0 3 74 "Strong beer" 9401 0
105 - 62.0 1 73 Bugbeer 8624 0
106 ж 48.0 1 20 Cola 1486 1
107 Ж 78.0 4 28 Beerbeer 2855 1
108 ж 67.0 1 31 Cola 2676 1
109 - 9.0 0 23 Beerbeer 2998 0
110 ж 13.0 4 67 Cola 7858 1
111 "Не указан" 5.0 1 77 "Strong beer" 4010 0
112 Ж 89.0 1 41 Cola 5555 0
113 Ж 39.0 5 40 Fanta 4056 0
114 "Не указан" 97.0 0 38 Cola 6454 0
115 м 73.0 1 12 Cola 2453 0
116 ж 100.0 0 42 Fanta 5624 1
117 ж 14.0 3 71 "Strong beer" 2121 0
118 Ж 4.0 4 46 Bugbeer 2473 1
119 -  4 47 Bugbeer 447 1
120 - 11.0 1 64 Water 1545 0
121 м 27.0 3 40 "Strong beer" 5953 0
122 м 0.0 2 48 Fanta 639 1
123 Мужчина 96.0 4 11 Fanta 9903 1
124 - 6.0 5 46 Water 9556 1
125 Ж 53.0 1 71 Water 162 0
126 ж 2.0 3 31 Water 6112 1
127 м 35.0 4 28 Bugbeer 3139 1
128 ж 19.0 3 76 "Strong beer" 4709 0
129 - 81.0 1 43 Water 62 0
130 - 8.0 2 74 "Strong beer" 6644 0
131 "Не указан" 65.0 3 39 "Strong beer" 2269 0
132 "Не указан"  4 53 "Strong beer" 1254 0
133 M 14.0 1 16 Fanta 5079 1
134 м 72.0 3 13 Water 5808 1
135 "Не указан" 97.0 -5 11 Water 2588 0
136 Ж 79.0 0 63 "Strong beer" 5989 0
137 M 58.0 0 71 Cola 8066 0
138 м  71807170 72 Water 2154 0
139 M 26.0 4 49 Beerbeer 9388 1
140 Ж 30.0 1 24 "Strong beer" 3260 1
141 ж 88.0 3 77 Fanta 9580 0
142 - 85.0 3 53 Beerbeer 5589 0
143 ж 27.0 5 26 "Strong beer" 3944 1
144 "Не указан"  5 52 Beerbeer 536 1
145 - 61.0 4 29 Bugbeer 5611 1
146 "Не указан" 36.0 2 38 Bugbeer 296 1
147 Ж 65.0 4 44 Bugbeer 1652 1
148 - 78.0 4 74 Bugbeer 5213 1
149 м 0.0 1 46 Cola 830 0
150 ж 77.0 3 11 Water 4520 1
151 - 27.0 3 77 Cola 1001 1
152 - 19.0 37330841 25 Water 3717 1
153 - 5.0 21519033 77 "Strong beer" 3847 0
154 Ж 48.0 3 63 Bugbeer 4408 0
155 м 83.0 5 13 Water 8163 1
156 "Не указан" 12.0 1 15 Water 4286 1
157 - 98.0 1 77 Bugbeer 506 0
158 M 29.0 -3 63 Fanta 2608 0
159 Ж 87.0 2 34 Bugbeer 745 1
160 м  3 74 Cola 5595 0
161 ж  5 31 Cola 2294 1
162 - 85.0 2 29 Bugbeer 7637 0
163 M 42.0 2 28 Water 2595 0
164 "Не указан" 99.0 5 12 Water 5696 1
165 M 70.0 3 58 Fanta 5902 1
166 ж 7.0 2 15 Cola 4800 1
167 м 8.0 0 45 Water 9859 1
168 M 96.0 2 28 Water 7648 0
169 M 23.0 5 72 "Strong beer" 3011 1
170 м 16.0 2 28 Bugbeer 6912 0
171 "Не указан" 10.0 1 73 "Strong beer" 259 0
172 Ж 44.0 4 38 Cola 937 0
173 - 15.0 12226483 45 Bugbeer 2395 0
174 м 93.0 1 45 Cola 9303 0
175 - 71.0 5 31 Fanta 7391 0
176 M 16.0 3 63 "Strong beer" 3750 1
177 - 55.0 2 45 Beerbeer 9651 1
178 Ж 9.0 5 27 "Strong beer" 2367 1
179 - 99.0 5 25 Beerbeer 3026 1
180 - 65.0 0 48 Cola 422 1
181 Ж 9.0 0 70 Water 7185 1
182 M 45.0 2 49 "Strong beer" 7959 1
183 м 30.0 5 43 Fanta 2546 1
184 Ж 17.0 0 80 Cola 2193 0
185 M 9.0 3 80 "Strong beer" 7851 1
186 м 98.0 -5 53 Cola 1411 1
187 Ж 77.0 4 70 Cola 907 0
188 M 27.0 2 47 Water 8777 1
189 - 61.0 0 25 "Strong beer" 7052 1
190 M 91.0 4 65 Fanta 8738 0
191 м 24.0 0 57 "Strong beer" 6615 1
192 ж 41.0 5 17 Fanta 4945 1
193 ж 91.0 1 68 Fanta 9076 0
194 "Не указан" 77.0 3 62 Cola 2034 1
195 ж 12.0 0 30 Beerbeer 3502 0
196 м 82.0 4 76 Beerbeer 5950 1
197 M 8.0 2 18 Cola 9518 1
198 ж 94.0 5 55 Bugbeer 5689 1
199 ж 59.0 1 76 Cola 2048 0
200 "Не указан" 65.0 4 56 Fanta 873 1
201 Ж 23.0 4 24 "Strong beer" 8392 1
202 м 70.0 19650178 18 Water 4303 0
203 м 2.0 1 49 Beerbeer 2561 0
204 м  38812202 31 Bugbeer 3639 0
205 "Не указан" 56.0 2 70 Fanta 3721 0
206 M 85.0 1 19 Water 5586 0
207 Ж 43.0 2 77 Bugbeer 7009 1
208 Ж 81.0 5 62 Water 8532 0
209 ж 86.0 3 17 Water 9526 0
210 - 82.0 0 15 Cola 817 0
211 M 50.0 4 68 Water 8961 1
212 "Не указан" 25.0 4 44 "Strong beer" 8728 1
213 Ж 64.0 0 55 Water 3133 1
214 "Не указан" 56.0 3 75 Bugbeer 7838 0
215 -  -3 67 Fanta 8490 1
216 ж 20.0 0 68 "Strong beer" 3653 1
217 Ж 4.0 4 63 Cola 4122 1
218 м 89.0 4 51 "Strong beer" 4605 1
219 M 35.0 3 45 Cola 341 1
220 м 7.0 2 69 "Strong beer" 9467 0
221 м 86.0 4 34 "Strong beer" 223 1
222 M 14.0 5 45 Bugbeer 3641 1
223 м 64.0 3 62 Cola 8099 0
224 м 42.0 1 64 Fanta 1160 0
225 M 57.0 3 23 "Strong beer" 7139 1
226 "Не указан" 39.0 0 28 Beerbeer 1703 1
227 - 85.0 4 29 "Strong beer" 8100 1
228 M 75.0 0 18 Cola 7807 1
229 Ж 95.0 4 24 Bugbeer 3321 1
230 Ж 54.0 2 11 Fanta 31 1
231 - 56.0 1 12 Fanta 1299 1
232 ж 64.0 0 22 "Strong beer" 8879 1
233 M 36.0 0 22 Bugbeer 1165 0
234 - 94.0 4 10 Water 1642 0
235 M 64.0 1 23 Fanta 1699 0
236 "Не указан" 43.0 2 34 Cola 1744 1
237 ж 72.0 3 64 Water 1988 0
238 ж 42.0 0 47 Bugbeer 4879 1
239 Ж 55.0 4 62 Cola 4386 0
240 "Не указан" 22.0 2 37 Fanta 3940 0
241 м 95.0 0 14 Water 4529 1
242 м 94.0 4 52 "Strong beer" 9452 0
243 M 31.0 0 62 Cola 7612 0
244 Ж 99.0 0 22 Cola 562 1
245 M 66.0 2 69 Fanta 9291 1
246 M 22.0 0 79 Bugbeer 4102 1
247 ж 84.0 0 72 "Strong beer" 9249 1
248 - 65.0 2 42 Water 3369 0
249 M 93.0 0 25 "Strong beer" 8858 0
250 Ж 97.0 5 38 Fanta 8872 0
251 M 62.0 5 58 Bugbeer 15 1
252 м 74.0 3 78 Water 5352 0
253 "Не указан" 82.0 0 30 Beerbeer 3088 1
254 Ж 87.0 1 49 Bugbeer 9201 1
255 м 77.0 4 16 Fanta 3619 1
256 - 54.0 2 73 Bugbeer 5341 0
257 ж 79.0 0 62 Bugbeer 2814 0
258 ж 34.0 3 30 Water 4853 0
259 M 81.0 0 45 Beerbeer 4028 1
260 M 16.0 5 43 Bugbeer 7221 1
261 "Не указан" 75.0 2 41 Bugbeer 4542 1
262 - 47.0 3 28 Fanta 975 1
263 ж 35.0 3 38 Bugbeer 1379 1
264 "Не указан" 49.0 4 26 Fanta 2616 1
265 "Не указан" 56.0 3 38 Bugbeer 6989 1
266 м 4.0 4 70 Water 7259 1
267 м 7.0 5 47 Bugbeer 4854 1
268 м 6.0 1 27 Water 6746 1
269 Ж 4.0 3 51 Water 5834 0
270 м 2.0 1 25 Cola 6826 1
271 ж 42.0 4 48 Beerbeer 3698 1
272 - 35.0 4 18 Cola 7400 1
273 M 62.0 0 11 Water 4676 1
274 м 27.0 0 48 Fanta 4673 1
275 M 93.0 1 44 Bugbeer 8377 1
276 M 69.0 5 61 "Strong beer" 4076 1
277 M 38.0 3 26 Bugbeer 4980 0
278 "Не указан" 33.0 0 25 Bugbeer 7219 1
279 "Не указан" 43.0 2 50 Fanta 8486 0
280 - 69.0 4 37 Cola 5429 1
281 - 50.0 4 34 Cola 6133 1
282 ж 96.0 2 74 Water 426 0
283 - 13.0 1 78 Fanta 5807 0
284 Ж 50.0 3 73 Beerbeer 4204 0
285 "Не указан"  4 44 Water 5610 1
286 м 67.0 0 61 Bugbeer 7754 1
287 - 96.0 1 75 Beerbeer 1934 0
288 M 78.0 -5 79 "Strong beer" 8091 0
289 - 32.0 2 56 Bugbeer 328 1
290 - 96.0 4 13 Cola 7111 1
291 M 74.0 5 51 "Strong beer" 4588 0
292 - 7.0 80675226 16 Cola 1180 1
293 м 20.0 0 66 "Strong beer" 1919 1
294 "Не указан" 95.0 0 18 Water 5486 0
295 Ж 42.0 0 18 Fanta 6891 0
296 M 17.0 5 34 Cola 4448 0
297 M 24.0 4 53 Bugbeer 2022 0
298 M 52.0 5 24 Water 1925 1
299 Ж 70.0 0 72 "Strong beer" 4626 1
300 "Не указан" 78.0 5 15 Cola 7105 1
301 M 65.0 1 42 Cola 2145 0
302 M 52.0 -3 15 Water 4201 1
303 ж 96.0 2 41 "Strong beer" 7376 0
304 M 29.0 0 64 "Strong beer" 316 1
305 ж 42.0 2 45 Beerbeer 5432 0
306 - 43.0 3 47 Water 2571 1
307 M 76.0 1 24 Fanta 960 0
308 - 62.0 4 29 Water 9355 0
309 "Не указан" 22.0 -5 44 Cola 689 0
310 Ж 94.0 62077583 61 Fanta 3715 0
311 Ж 80.0 1 42 Bugbeer 2203 1
312 "Не указан" 74.0 4 38 Bugbeer 2056 1
313 м 61.0 3959509 48 Water 5479 0
314 ж 53.0 -6 29 Fanta 4113 1
315 - 53.0 2 52 Bugbeer 8501 1
316 ж 55.0 5 36 Water 1126 0
317 Ж 52.0 0 58 Beerbeer 8167 0
318 - 63.0 3 41 Bugbeer 1449 0
319 м 31.0 4 37 Cola 9486 1
320 м 69.0 2 66 Beerbeer 5954 1
321 - 95.0 5 44 Fanta 1045 1
322 M 48.0 4 10 Fanta 3534 0
323 ж 10.0 4 75 Beerbeer 3274 1
324 - 0.0 51856694 78 Cola 8999 0
325 M 76.0 5 14 Fanta 6094 1
326 Ж 38.0 2 31 Bugbeer 6488 1
327 M 60.0 4 57 Fanta 3246 1
328 м 73.0 5 16 Water 2410 1
329 м 37.0 5 51 Bugbeer 1069 1
330 Ж 1.0 5 56 Cola 8251 1
331 м 29.0 5 37 "Strong beer" 9898 1
332 ж 84.0 0 63 Fanta 8195 0
333 M 12.0 5 26 Water 9141 0
334 - 64.0 5 72 Fanta 8983 0
335 Ж 35.0 2 58 Beerbeer 5641 1
336 м 66.0 3 73 Water 6879 0
337 м 20.0 1 69 Bugbeer 9838 0
338 M 83.0 1 46 "Strong beer" 8715 1
339 м 77.0 65664756 12 Fanta 9693 1
340 м 40.0 2 17 Water 7171 0
341 м 80.0 4 38 Cola 4461 1
342 M 93.0 2 52 "Strong beer" 987 0
343 м 45.0 0 76 Cola 3007 0
344 ж 16.0 20967408 80 Cola 145 1
345 Ж 44.0 1 34 "Strong beer" 3550 0
346 Ж 30.0 1 18 Water 4365 1
347 - 2.0 2 10 Water 8714 1
348 ж 38.0 0 39 Beerbeer 9269 1
349 M 51.0 0 18 Fanta 5374 0
350 -  1 39 Fanta 3682 1
351 ж  -3 33 Beerbeer 5011 1
352 "Не указан" 82.0 1 20 Water 1775 1
353 Ж 86.0 2 33 Bugbeer 7367 1
354 - 78.0 5 71 Fanta 8242 0
355 м 89.0 3 22 "Strong beer" 2920 1
356 м 55.0 4 26 Fanta 297 1
357 Ж 77.0 1 16 Water 1407 0
358 M 36.0 2 73 Beerbeer 2187 1
359 Ж 54.0 4 71 Beerbeer 2180 1
360 Ж 98.0 2 71 Beerbeer 1720 1
361 ж 28.0 0 16 Fanta 3886 0
362 "Не указан"  0 62 Beerbeer 3912 0
363 - 15.0 26100075 35 Fanta 4952 0
364 - 65.0 2 67 Water 8702 1
365 м 87.0 2 41 Beerbeer 5297 1
366 "Не указан" 8.0 2 68 Bugbeer 7608 1
367 M 20.0 3 25 Cola 7435 1
368 M 76.0 1 27 Beerbeer 2388 1
369 ж 10.0 3 11 Cola 1464 0
370 Ж 8.0 1 50 Bugbeer 3204 1
371 "Не указан" 71.0 63128241 71 Cola 7345 0
372 "Не указан" 74.0 42766853 80 Water 304 1
373 м 71.0 5 39 Bugbeer 4098 1
374 м 86.0 3 12 Fanta 4393 1
375 - 5.0 0 31 Fanta 4940 0
376 M 67.0 2 39 Bugbeer 2368 0
377 ж  -6 59 Beerbeer 1586 0
378 Ж 85.0 3 35 Bugbeer 4982 1
379 Ж 13.0 4 27 Water 3170 1
380 "Не указан" 35.0 2 64 Beerbeer 5455 1
381 M 21.0 0 73 Fanta 2325 1
382 M 71.0 2 63 Water 9619 1
383 M 89.0 4 75 Cola 6167 0
384 Ж 59.0 3 18 Fanta 2481 0
385 - 98.0 1 15 Water 9578 1
386 "Не указан" 97.0 5 71 Cola 554 1
387 "Не указан" 41.0 5 50 Bugbeer 6909 0
388 M 67.0 0 79 Bugbeer 895 0
389 Ж 83.0 -1 38 Water 4743 0
390 - 87.0 0 35 Water 6142 1
391 м 86.0 1 78 "Strong beer" 5003 0
392 ж 92.0 3 22 Beerbeer 6686 1
393 м 18.0 1 34 Cola 8125 0
394 "Не указан" 44.0 2 21 Bugbeer 1080 1
395 "Не указан" 6.0 1 57 Bugbeer 3300 0
396 M 45.0 3 16 Cola 2414 0
397 - 19.0 5 75 Cola 5365 1
398 M  5 53 Water 6820 1
399 ж 28.0 0 17 Water 125 1
400 ж 65.0 4 28 Water 3076 1
401 M 81.0 3 71 "Strong beer" 1991 1
402 м 11.0 0 16 Cola 6165 1
403 ж 72.0 41769085 21 Beerbeer 6479 1
404 "Не указан" 75.0 4 66 Bugbeer 7138 0
405 - 97.0 3779416 37 Water 2982 1
406 Ж 40.0 3 63 Fanta 4740 1
407 м 58.0 2 52 Cola 874 0
408 "Не указан" 47.0 5 77 Water 1976 0
409 ж  5 48 Beerbeer 1402 1
410 Ж 47.0 2 32 "Strong beer" 8381 0
411 Ж 8.0 2 21 Fanta 2033 1
412 - 24.0 0 45 Bugbeer 7595 1
413 "Не указан" 59.0 3 33 Cola 4141 1
414 Ж 71.0 3 17 Fanta 5323 1
415 ж 28.0 3 79 "Strong beer" 67 1
416 M 62.0 3 19 Cola 256 1
417 M 98.0 4 45 Fanta 6312 0
418 M 48.0 4 11 Water 783 1
419 - 60.0 0 49 Cola 835 1
420 м 98.0 3 35 Cola 5143 1
421 - 16.0 0 71 "Strong beer" 4470 0
422 ж 16.0 3 51 "Strong beer" 8305 1
423 ж 47.0 0 66 Water 7675 1
424 ж 76.0 2 10 Water 6595 1
425 ж 29.0 4 50 Cola 3435 1
426 м  2 52 Beerbeer 463 0
427 ж 18.0 0 63 "Strong beer" 8613 0
428 м 11.0 4 45 "Strong beer" 3705 1
429 м  38816112 65 Fanta 4483 1
430 M 2.0 5 80 Water 7324 0
431 ж  1 65 Bugbeer 3433 0
432 ж 54.0 -3 22 "Strong beer" 5489 0
433 Ж 21.0 1 34 Beerbeer 3806 1
434 M  4 56 Fanta 9055 0
435 - 26.0 1 17 Water 7870 0
436 - 47.0 3 48 Fanta 5248 1
437 ж 70.0 2 69 Beerbeer 9182 0
438 ж 58.0 5 15 Fanta 3296 1
439 - 24.0 0 58 Fanta 7680 1
440 - 38.0 10856059 75 Water 7010 1
441 м 36.0 4 75 "Strong beer" 6627 0
442 -  3 49 Bugbeer 2156 0
443 M 77.0 4 17 Cola 568 1
444 ж 80.0 5 15 Cola 1391 1
445 - 48.0 3 16 Fanta 3516 1
446 M 7.0 -2 69 Cola 4491 1
447 Ж 47.0 5 25 "Strong beer" 7683 1
448 "Не указан" 51.0 2 30 Water 9699 0
449 "Не указан" 32.0 0 62 Beerbeer 2562 1
450 "Не указан" 95.0 5 55 Water 5461 1
451 м 56.0 4 38 Fanta 5830 1
452 - 89.0 0 55 Water 8045 0
453 м 25.0 1 62 Water 6111 1
454 "Не указан" 84.0 2 21 Cola 102 1
455 м 1.0 4 18 Water 1571 0
456 ж  4 24 "Strong beer" 8567 1
457 M 9.0 4 56 Bugbeer 1536 1
458 ж 75.0 4 48 Cola 1245 1
459 M 50.0 2 62 Cola 6775 1
460 - 69.0 5 28 Water 8299 1
461 "Не указан" 48.0 2 43 Water 1280 0
462 ж 18.0 0 13 Water 4404 0
463 "Не указан" 36.0 0 65 Beerbeer 7170 1
464 - 94.0 4 77 Beerbeer 6458 1
465 ж 85.0 4 15 Fanta 8165 0
466 "Не указан" 95.0 2 40 "Strong beer" 3097 1
467 M 2.0 -6 33 Water 5990 0
468 - 69.0 0 65 Water 3411 0
469 - 55.0 3 22 Fanta 9520 0
470 - 4.0 5 70 Water 3430 1
471 м 0.0 3 44 Fanta 1436 1
472 - 15.0 2 16 Fanta 5243 1
473 м 57.0 2 40 Fanta 8726 1
474 м 72.0 4 42 Water 7968 0
475 ж 24.0 2 64 Water 8561 0
476 M  1 57 Water 2965 0
477 м 21.0 3 15 Water 7613 1
478 - 59.0 0 59 Bugbeer 2238 0
479 м  1 79 Water 7729 0
480 - 18.0 3 27 Fanta 6075 0
481 - 30.0 40201550 45 Cola 2566 1
482 - 20.0 1 51 Beerbeer 5391 1
483 м 30.0 -1 77 Bugbeer 1893 0
484 "Не указан" 43.0 5 46 Beerbeer 9983 1
485 M 85.0 4 70 Water 4619 0
486 - 45.0 4 71 Water 473 1
487 ж 1.0 5 68 Bugbeer 6676 0
488 "Не указан" 36.0 3 52 Fanta 6837 1
489 ж 67.0 4 51 Beerbeer 2184 1
490 - 31.0 5 46 Beerbeer 9483 1
491 M 73.0 4 51 Beerbeer 103 1
492 м 40.0 5 53 Water 4922 0
493 м 11.0 3 30 "Strong beer" 2511 0
494 ж 61.0 3 75 Cola 3308 1
495 ж 88.0 4 29 "Strong beer" 5206 1
496 Ж 28.0 1 38 Beerbeer 9620 0
497 Ж 43.0 1 20 Cola 8583 1
498 Ж 37.0 5 35 Fanta 4736 1
499 - 59.0 5 26 Water 9802 1
500 м 40.0 12071121 37 Water 1731 0
501 Ж  5 54 "Strong beer" 3897 1
502 м  0 27 Fanta 4152 0
503 ж 78.0 3 31 Fanta 3080 0
504 м 49.0 92342463 76 Water 6881 1
505 Ж 72.0 0 77 Water 7255 0
506 - 64.0 0 49 "Strong beer" 5471 1
507 - 47.0 2 56 Water 1095 0
508 ж 24.0 0 50 Bugbeer 1763 0
509 Ж 25.0 5 77 Beerbeer 219 0
510 м 21.0 0 25 Fanta 4732 1
511 - 98.0 0 51 "Strong beer" 7232 0
512 "Не указан" 44.0 1 18 Fanta 5932 0
513 Ж 45.0 0 78 Beerbeer 9729 1
514 м 44.0 1 56 Fanta 8398 0
515 - 15.0 6300247 20 Fanta 9544 1
516 м 21.0 2 32 "Strong beer" 8859 1
517 "Не указан" 11.0 4 77 Water 8046 1
518 M 3.0 0 66 Beerbeer 8424 0
519 ж 96.0 0 18 Fanta 8556 1
520 ж 83.0 3 35 Water 2445 0
521 "Не указан" 77.0 3 64 Bugbeer 6762 0
522 - 56.0 2 38 Cola 2720 1
523 "Не указан" 69.0 -2 67 Water 9029 1
524 Ж 15.0 3 73 Water 1474 1
525 "Не указан" 16.0 4 70 Cola 706 0
526 ж 33.0 1 35 Cola 8170 0
527 Ж 38.0 2 26 "Strong beer" 7095 0
528 Ж 56.0 4 78 Fanta 4836 0
529 M 37.0 5 63 Bugbeer 797 0
530 м 50.0 0 73 Cola 496 1
531 ж 1.0 1 36 Fanta 7671 1
532 Ж 50.0 3 61 Fanta 749 1
533 м 1.0 0 31 Fanta 241 0
534 Ж 20.0 4 59 Cola 6625 1
535 м 17.0 2 27 Cola 1664 1
536 Ж 9.0 0 52 Beerbeer 9545 0
537 м 92.0 4 67 Water 2599 0
538 Ж 0.0 16327277 17 Water 2459 0
539 м 54.0 2 68 Water 9214 1
540 Ж 68.0 5 27 Water 7012 1
541 м 52.0 4 44 Water 5782 1
542 "Не указан" 89.0 4 32 "Strong beer" 8781 1
543 м 16.0 4 80 Bugbeer 311 0
544 - 19.0 43432600 55 Fanta 2708 1
545 Ж 99.0 0 77 Water 7032 0
546 Ж 31.0 2 73 Beerbeer 9697 1
547 м 14.0 4 22 Water 6777 1
548 M 28.0 5 38 "Strong beer" 531 1
549 ж 42.0 1 31 Bugbeer 4278 0
550 м 11.0 2 63 "Strong beer" 906 1
551 ж 25.0 2 43 Bugbeer 1265 0
552 - 63.0 4 12 Fanta 8054 1
553 M 45.0 2 71 "Strong beer" 9098 1
554 "Не указан" 93.0 4 13 Cola 4552 0
555 м 62.0 5 47 Bugbeer 8471 1
556 Ж 19.0 5 62 "Strong beer" 8758 0
557 "Не указан"  5 61 Cola 2952 0
558 Ж 4.0 2 79 Cola 9240 0
559 - 75.0 0 17 Cola 3209 0
560 M 15.0 2 21 Bugbeer 1673 1
561 "Не указан" 2.0 5 71 "Strong beer" 2528 1
562 "Не указан" 15.0 0 17 Fanta 4445 0
563 - 13.0 -2 66 "Strong beer" 840 0
564 M 20.0 56925718 80 Fanta 2631 1
565 M 12.0 5 66 Fanta 6358 0
566 - 62.0 2 65 Water 5573 1
567 м 69.0 4 15 Fanta 5677 1
568 м 69.0 0 59 "Strong beer" 104 1
569 ж 53.0 3 20 Fanta 1009 1
570 Ж 74.0 2 77 "Strong beer" 951 1
571 M 86.0 1 30 Water 3513 1
572 - 83.0 1 79 Cola 9533 0
573 - 7.0 5 15 Cola 5716 1
574 M 63.0 4 80 Bugbeer 5708 0
575 "Не указан" 81.0 1 65 Fanta 9519 1
576 ж 26.0 3 72 Beerbeer 1144 1
577 ж 100.0 5 46 Bugbeer 8796 1
578 ж 15.0 0 59 "Strong beer" 1336 1
579 ж 16.0 2 63 "Strong beer" 7328 1
580 Ж 61.0 4 42 Fanta 5749 0
581 - 99.0 3 61 Fanta 3084 1
582 "Не указан" 71.0 5 78 "Strong beer" 5349 0
583 M 21.0 3 77 Beerbeer 6092 1
584 M 32.0 0 75 Cola 1759 0
585 м 25.0 4 61 Water 8608 0
586 м 15.0 83751649 66 Fanta 6370 1
587 - 34.0 2 36 Bugbeer 913 1
588 M 29.0 4 14 Cola 196 0
589 Ж  5 45 Cola 2972 1
590 "Не указан" 42.0 4 65 Cola 3163 1
591 м 62.0 2 55 Cola 3089 0
592 м 45.0 3 21 Water 6983 1
593 "Не указан" 44.0 84953144 42 Cola 6415 1
594 м 61.0 5 80 Fanta 8694 0
595 - 35.0 0 22 Bugbeer 2554 1
596 Ж 88.0 5 28 Beerbeer 110 1
597 M 56.0 2 51 Water 8652 0
